Security Code,Security Id,Security Name,Group,Industry,Instrument
950217,1008IOT28B,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950218,1008IOT28C,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950219,1008IOT28D,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950220,1008IOT28E,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950221,1008IOT28F,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950229,1010RCL2024,Reliance Capital Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950235,1BBPL2023A,Bright Buildtech Pvt Ltd,F ,Realty,Debentures and Bonds
950261,980RHFL2024,Reliance Home Finance Ltd,F ,Housing Finance ,Debentures and Bonds
950283,975APSFC24,Andhra Pradesh State Financial Corporation,F ,Other Financial Services,Debentures and Bonds
950306,970IIL2024B,India Infradebt Ltd,F ,Other Financial Services,Debentures and Bonds
950322,1015IBHFL24,Indiabulls Housing Finance Ltd,F ,Housing Finance ,Debentures and Bonds
950352,1092SEFL24,SREI Equipment Finance Ltd,F ,Financial Institutions,Debentures and Bonds
950360,970LTIDFL24,L&T Infra Debt Fund Ltd,F ,Other Financial Services,Debentures and Bonds
950362,114SEFL24B,SREI Equipment Finance Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950367,109SEFL2024,SREI Equipment Finance Ltd,F ,Financial Institutions,Debentures and Bonds
950372,97HDB2024,HDB Financial Services Ltd,F ,Financial Institutions,Debentures and Bonds
950373,924HDFC2024,Housing Development Finance Corporation Ltd,F ,Housing Finance ,Debentures and Bonds
950380,925RIL2024,Reliance Industries Ltd,F ,Telecom Services,Debentures and Bonds
950406,1145MFL2021,Magma Fincorp Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950433,950ILFS19,IL&FS Financial Services Ltd,F ,Financial Institutions,Debentures and Bonds
950434,950ILFS24,IL&FS Financial Services Ltd,F ,Financial Institutions,Debentures and Bonds
950437,920PFC2021C,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950438,936PFC21,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950442,948PFC22,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950446,1175HDFCC,HDFC Credila Financial Services Ltd,F ,Financial Institutions,Debentures and Bonds
950447,884PFC23,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950450,890PFC23,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950451,926PFC23,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950452,0PFC2022,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950454,819PFC23,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950455,965PFC24,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950456,970PFC24,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950457,860PFC24,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950458,850PFC24,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950459,880PFC25,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950460,890PFC25,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950461,895PFC25,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950462,870PFC25,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950463,875PFC25,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950464,905PFC25,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950465,946PFC26,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950467,945PFC26,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950468,900PFC28,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950469,890PFC28,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950471,894PFC28,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950473,885PFC30,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950475,905PFC30,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950477,751PFC21,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950480,809PFC21,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950482,721PFC22,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950483,722PFC22,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950484,801PFC23,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
950485,775PFC26,Power Finance Corporation Ltd,F ,Finance (including NBFCs),Debentures and Bonds
